name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description
Easter Leftover Sandwich,"12 whole Hard Boiled Eggs\n1/2 cup Mayonnaise\n3 Tablespoons Grainy Dijon Mustard\n Salt And Pepper, to taste\n Several Dashes Worcestershire Sauce\n Leftover Baked Ham, Sliced\n Kaiser Rolls Or Other Bread\n Extra Mayonnaise And Dijon, For Spreading\n Swiss Cheese Or Other Cheese Slices\n Thinly Sliced Red Onion\n Avocado Slices\n Sliced Tomatoes\n Lettuce, Spinach, Or Arugula",http://thepioneerwoman.com/cooking/2013/04/easter-leftover-sandwich/,http://static.thepioneerwoman.com/cooking/files/2013/03/leftoversandwich.jpg,PT,8,4/1/2013,PT15M,Got leftover Easter eggs?    Got leftover Easter ham?    Got a hearty appetite?    Good! You've come to the right place!    I...
Pasta with Pesto Cream Sauce,"3/4 cups Fresh Basil Leaves\n1/2 cup Grated Parmesan Cheese\n3 Tablespoons Pine Nuts\n2 cloves Garlic, Peeled\n Salt And Pepper, to taste\n1/3 cup Extra Virgin Olive Oil\n1/2 cup Heavy Cream\n2 Tablespoons Butter\n1/4 cup Grated Parmesan (additional)\n12 ounces, weight Pasta (cavitappi, Fusili, Etc.)\n2 whole Tomatoes, Diced",http://thepioneerwoman.com/cooking/2011/06/pasta-with-pesto-cream-sauce/,http://static.thepioneerwoman.com/cooking/files/2011/06/pesto.jpg,PT10M,8,6/6/2011,PT6M,I finally have basil in my garden. Basil I can use. This is a huge development.     I had no basil during the winter. None. G...
Herb Roasted Pork Tenderloin with Preserves,"2 whole Pork Tenderloins\n Salt And Pepper, to taste\n8 Tablespoons Herbs De Provence (more If Needed\n1 cup Preserves (fig, Peach, Plum)\n1 cup Water\n1 Tablespoon Vinegar",http://thepioneerwoman.com/cooking/2011/09/herb-roasted-pork-tenderloin-with-preserves/,http://static.thepioneerwoman.com/cooking/files/2011/09/porkloin.jpg,PT15M,12,9/15/2011,PT5M,"This was yummy. And easy. And pretty! And it took basically no time to make.     Before I share the recipe, I'll just say it:..."
Chicken Florentine Pasta,"1 pound Penne\n4 whole Boneless, Skinless Chicken Breasts\n Salt And Pepper, to taste\n2 Tablespoons Butter\n2 Tablespoons Olive Oil\n4 cloves Garlic, Minced\n3/4 cups Dry White Wine\n3/4 cups Low-sodium Broth, More If Needed\n1 bag Baby Spinach\n2 cups Grape Tomatoes, Halved Lengthwise\n4 ounces, weight Parmesan Cheese, Shaved With Vegetable Peeler",http://thepioneerwoman.com/cooking/2012/04/chicken-florentine-pasta/,http://static.thepioneerwoman.com/cooking/files/2012/04/florentine.jpg,PT20M,10,4/23/2012,PT10M,"I made this for a late lunch Saturday, and it absolutely completed me. It also absolutely completed my fourteen-year-old daug..."
Perfect Iced Coffee,"1 pound Ground Coffee (good, Rich Roast)\n8 quarts Cold Water\n Half-and-half (healthy Splash Per Serving)\n Sweetened Condensed Milk (2-3 Tablespoons Per Serving)\n Note: Can Use Skim Milk, 2% Milk, Whole Milk, Sugar, Artificial Sweeteners, Syrups...adapt To Your Liking!",http://thepioneerwoman.com/cooking/2011/06/perfect-iced-coffee/,http://static.thepioneerwoman.com/cooking/files/2011/06/icedcoffee.jpg,PT,24,6/13/2011,PT8H,"Iced coffee is my life. When I wake up, often around the time party animals on the west coast are just heading home, I start ..."
Easy Green Chile Enchiladas,"1 whole Onion, Diced\n2 Tablespoons Butter\n1 can (15 Ounce) Green Enchilada Sauce\n2 cans (4 Ounce) Chopped Green Chilies\n12 whole Corn Tortillas\n2 cups Freshly Grated Cheddar (or Cheddar-jack) Cheese (or Any Cheese You'd Like)\n Sour Cream\n Salsa\n Pico De Gallo (optional)\n Guacamole (optional)\n Cilantro Leaves, Optional",http://thepioneerwoman.com/cooking/2012/05/easy-green-chile-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2012/05/enchilada.jpg,PT10M,4,5/31/2012,PT5M,"When I was in Albuquerque with Marlboro Man and the boys a month ago, I had a really fun book signing. Such incredibly nice a..."
Krispy Easter Eggs,4 Tablespoons Butter\n1 package (10 Ounces) Mini Marshmallows\n6 cups Rice Krispies\n Assorted Sprinkles\n Small Chocolate Easter Eggs\n Plastic Easter Eggs,http://thepioneerwoman.com/cooking/2013/03/krispy-easter-eggs/,http://static.thepioneerwoman.com/cooking/files/2013/03/DSC_9637.jpg,PT5M,12,3/25/2013,PT20M,"Imagine the Easter Bunny laying an egg.     Wait. That’s not anatomically possible.     And anyway, the Easter Bunny is a b..."
Patty Melts,"1 stick Butter\n1 whole Large Onion, Halved And Sliced\n1-1/2 pound Ground Beef\n Salt And Pepper, to taste\n5 dashes Worcestershire Sauce\n8 slices Swiss Cheese\n8 slices Rye Bread",http://thepioneerwoman.com/cooking/2012/08/patty-melts/,http://static.thepioneerwoman.com/cooking/files/2012/08/pattymelt.jpg,PT25M,4,8/6/2012,PT10M,"Who doesn't love a patty melt?     Well, besides vegetarians, people who don't like rye bread, people who don't eat onions, o..."
Yum. Doughnuts!," Doughnuts\n1-1/8 cup Whole Milk, Warm\n1/4 cup Sugar\n2-1/4 teaspoons (one Package) Instant Or Active Dry Yeast\n2 whole Large Eggs, Beaten\n1-1/4 stick Unsalted Butter, melted\n4 cups All-purpose Flour\n1/4 teaspoon Salt\n Shortening\n GLAZE\n3 cups Powdered Sugar\n1/2 teaspoon Salt\n1/2 teaspoon Vanilla\n1/2 cup Cold Water Or Milk",http://thepioneerwoman.com/cooking/2012/08/yum-doughnuts/,http://static.thepioneerwoman.com/cooking/files/2012/08/doughnut.jpg,PT2M,18,8/10/2012,PT25M,"Note from PW: On tomorrow's Food Network episode, I make homemade glazed doughnuts for Marlboro Man, the kids, Josh, and Pete..."
Buttery Lemon Parsley Noodles,"1 pound Pasta (fettuccine, Linguine, Angel Hair)\n4 Tablespoons Butter\n1/4 cup Finely Minced Parsley\n1 whole Lemon\n Salt And Pepper, to taste",http://thepioneerwoman.com/cooking/2012/08/buttery-lemon-parsley-noodles/,http://static.thepioneerwoman.com/cooking/files/2012/08/noodles.jpg,PT15M,8,8/1/2012,PT5M,"This is just a quick, easy side dish that is clean and fresh and knocks my ballet flats off. These noodles were actually part..."
Roast Chicken,"1 whole Chicken, Rinsed And Patted Dry\n3/4 cups Butter, Softened\n3 whole Lemons\n4 sprigs Rosemary\n Salt And Pepper, to taste",http://thepioneerwoman.com/cooking/2012/08/roast-chicken/,http://static.thepioneerwoman.com/cooking/files/2012/08/roastchicken2.jpg,PT1H15M,4,8/13/2012,PT10M,There's nothing simpler than roast chicken.     And there are few things more delicious.     You can use this basic recipe an...
Baked French Toast," FRENCH TOAST\n Butter, For Greasing\n1 loaf Crusty Sourdough Or French Bread\n8 whole Eggs\n2 cups Whole Milk\n1/2 cup Heavy Cream\n1/2 cup Sugar\n1/2 cup Brown Sugar\n2 Tablespoons Vanilla Extract\n Topping\n1/2 cup Flour\n1/2 cup Firmly Packed Brown Sugar\n1 teaspoon Cinnamon\n1/4 teaspoon Salt\n Freshly Grated Nutmeg, Optional\n1 stick Cold Butter, Cut Into Pieces\n Warm Syrup, For Serving\n Butter, For Serving\n1 cup Fresh Blueberries, For Serving",http://thepioneerwoman.com/cooking/2012/08/baked-french-toast/,http://static.thepioneerwoman.com/cooking/files/2012/08/bakedfrenchtoast.jpg,PT1H,8,8/18/2012,PT15M,"On this morning's Food Network episode, I make (among other things) this beautiful, simple, glorious, easy, delectable, scrum..."
Yummy Slice-and-Bake Cookies,"2-1/2 cups All-purpose Flour\n1 teaspoon Instant Coffee Granules\n1 teaspoon Baking Soda\n1 teaspoon Salt\n1 cup (2 Sticks) Salted Butter, Softened\n1-1/4 cup Packed Brown Sugar\n1/4 cup Granulated Sugar\n2 whole Eggs\n1 Tablespoon Vanilla\n2 Tablespoons Creamy Peanut Butter\n2 Tablespoons Nutella\n1/2 cup Very Finely Chopped Pecans\n3/4 cups M&amp;M's, Roughly Chopped",http://thepioneerwoman.com/cooking/2012/08/yummy-slice-and-bake-cookies/,http://static.thepioneerwoman.com/cooking/files/2012/08/slicebake.jpg,PT10M,30,8/15/2012,PT15M,I love slice-and-bake cookie dough because it reminds me of the times during my freshman year in college that my dorm friends...
Yummy Grilled Zucchini,"6 whole Zucchini (medium Sized)\n1/4 cup Olive Oil\n1 teaspoon Kosher Salt\n1 teaspoon Black Pepper\n3 whole Lemons, Zested\n1 teaspoon Kosher Salt (additional)\n Extra Olive Oil If Needed For Brushing",http://thepioneerwoman.com/cooking/2012/08/grilled-zucchini-with-yummy-lemon-salt/,http://static.thepioneerwoman.com/cooking/files/2012/08/zucc.jpg,PT20M,8,8/20/2012,PT30M,"I love grilled vegetables more than anything on earth. Well, except my children. And my husband. And chocolate whipped cream ..."
Chocolate Covered S’mores,"16 whole Graham Cracker Squares (two Single Rectangular Pieces Still Stuck Together)\n1 container (7 Ounce) Marshmallow Creme\n1 whole Package Chocolate Almond Barn Or Other Melting Chocolate\n Chopped Nuts, Sprinkles, Etc.",http://thepioneerwoman.com/cooking/2012/08/chocolate-covered-smores/,http://static.thepioneerwoman.com/cooking/files/2012/08/smores.jpg,PT10M,8,8/29/2012,PT20M,"When we went to Vail, Colorado to ski last spring, a few things happened:    1. I had the best time of my life.  2. I didn't ..."
T-Bone Steaks with Hotel Butter," HOTEL BUTTER\n2 sticks Salted Butter, Softened\n1/3 cup Finely Minced Parsley\n1 whole Lemon, Zested And Halved\n OPTIONAL: Finely Minced Garlic, Salt, Pepper, Any Mix Of Herbs, Crushed Red Pepper, Paprika...anything You Can Come Up With!\n Steaks\n4 whole Steaks (ribeye, T-bone, Filet)\n Salt And Pepper, to taste\n Butter, For Frying",http://thepioneerwoman.com/cooking/2012/08/t-bone-steaks-with-hotel-butter/,http://static.thepioneerwoman.com/cooking/files/2012/08/hotelbutter.jpg,PT5M,4,8/22/2012,PT20M,I love compound butter. I made some with berries last summer and slapped it on French toast. Lifechanging.     But that's ano...
Mango Margaritas!,"2 whole Limes\n2 Tablespoons Coarse Sugar (decorator's Sugar)\n2 jars (20 Ounce) Mango Chunks, Drained\n1-1/2 cup Tequila\n1-1/2 cup Triple Sec\n1/4 cup Sugar",http://thepioneerwoman.com/cooking/2012/08/mango-margaritas/,http://static.thepioneerwoman.com/cooking/files/2012/08/mango.jpg,PT,8,8/31/2012,PT10M, I've got Mango Margaritas on the brain for three very important reasons:    1. It's one of my favorite recipes in my new coo...
Tuscan Bean Soup with Shrimp,"5 cloves Garlic, Minced\n1 whole Medium Onion, Diced\n3 cans (14.5 Ounce) Cans Great Norther Beans, Drained And Rinsed\n2 Tablespoons Olive Oil\n1 teaspoon Red Pepper Flakes\n2 teaspoons Dried Oregano\n1/4 cup Tomato Paste\n3/4 cups Dry White Wine\n1 can (28 Ounces) Whole Or Diced Tomatoes\n6 cups Low Sodium Chicken Broth\n1 bunch Kale (more If Desired)\n Plenty Of Torn Fresh Basil\n4 Tablespoons Butter\n1-1/2 pound Raw Shrimp, Peeled And Deveined\n1/4 cup Chopped Fresh Parsley\n Fresh Parmesan Shavings",http://thepioneerwoman.com/cooking/2012/01/tuscan-bean-soup-with-shrimp/,http://static.thepioneerwoman.com/cooking/files/2012/01/tuscan.jpg,PT45M,8,1/4/2012,PT10M,"I'm Pioneer Woman. And I'm obsessed with soup.     This delicious take on the simple, classic Tuscan Bean Soup has a nice tan..."
Hoppin’ John,"4 Tablespoons Butter\n1 whole Large Onion, Diced\n4 cloves Garlic, Minced\n1 whole Green Bell Pepper, Diced\n2 stalks Celery, Diced\n4 cups Soaked Black-eyed Peas\n5 cups Low-sodium (or No-sodium) Chicken Broth\n1 whole Ham Hock\n Salt And Pepper, to taste\n Cayenne Pepper To Taste\n2 Tablespoons White Vinegar\n White Or Brown Rice, For Serving",http://thepioneerwoman.com/cooking/2011/12/hoppin-john/,http://static.thepioneerwoman.com/cooking/files/2011/12/hoppin.jpg,PT1H,10,12/30/2011,PT6H,"I'm not a big believer in superstition, but for some reason I've always eaten black-eyed peas on New Year's Day. I figure sta..."
Turkey Bagel Burger,"8 whole Everything Bagels\n4 Tablespoons Butter\n4 ounces, weight Goat Cheese (chevre) Or Cream Cheese\n2 Tablespoons Pesto (Basil Or Sun-dried Tomato)\n2 pounds Ground Turkey\n1 teaspoon Kosher Salt (more To Taste)\n Plenty Of Black Pepper\n8 dashes Worcestershire Sauce\n4 dashes Hot Sauce (more To Taste)\n1 whole Egg Yolk (optional)\n1 Tablespoon Canola Oil\n1 Tablespoon Butter\n4 whole Roma Tomatoes, Sliced\n3 whole Avocados, Sliced\n16 whole Large Basil Leaves",http://thepioneerwoman.com/cooking/2012/01/turkey-bagel-burger/,http://static.thepioneerwoman.com/cooking/files/2012/01/turkeybagelburger.jpg,PT15M,8,1/11/2012,PT10M,"I would like to state for the record that I don't go around making turkey burgers very often, because...let's face it. They'r..."
Perfect French Fries,5 pounds Russet Potatoes\n Vegetable Or Peanut Oil For Frying\n Sea Salt,http://thepioneerwoman.com/cooking/2012/01/perfect-french-fries/,http://static.thepioneerwoman.com/cooking/files/2012/01/fries.jpg,PT30M,8,1/13/2012,PT3H,These are the facts of the case and they are undisputed:    1. French fries are delicious.    2. French fries dipped in a mix...
"Apple, Pecan, and Blue Cheese Salad with Dried Cherries","12 ounces, weight Salad Greens (spring Mix)\n2 whole Apples, Cored And Sliced Very Thin\n1/2 cup Pecan Halves\n1/4 cup Dried Cherries\n6 ounces, weight Blue Cheese, Cut Into Chunks\n1 Tablespoon (heaping) Dijon Mustard\n1 Tablespoon Maple Syrup (more To Taste)\n1 teaspoon Apple Cider Vinegar (more To Taste)\n1/4 cup Olive Oil\n Salt And Pepper, to taste",http://thepioneerwoman.com/cooking/2012/01/apple-pecan-and-blue-cheese-salad-with-dried-cherries/,http://static.thepioneerwoman.com/cooking/files/2012/01/salad.jpg,PT,8,1/16/2012,PT15M,"I thought I'd follow up the french fry post with something slightly more redeeming. I made this salad a couple of weeks ago, ..."
Deep Dish Fruit Pizza,1-1/3 cup Shortening (may Substitute Butter)\n1-1/2 cup Sugar\n1 teaspoon Orange Zest\n1 teaspoon Vanilla\n2 whole Eggs\n8 teaspoons Whole Milk\n4 cups All-purpose Flour\n3 teaspoons Baking Powder\n1/2 teaspoon Salt\n2 jars (13 Ounces Each) Marshmallow Creme\n2 packages (8 Ounces Each) Cream Cheese\n Peaches\n Kiwi Fruit\n Blueberries\n Pears\n Raspberries\n Other Fruit Optional,http://thepioneerwoman.com/cooking/2012/01/fruit-pizza/,http://static.thepioneerwoman.com/cooking/files/2012/01/fruitpizza.jpg,PT15M,24,1/23/2012,PT1H,"My sister-in-law Missy first introduced me to the concept of fruit pizza years and years ago, and here's how: she brought one..."
Bacon-Wrapped Scallops with Chili Butter,"2 pounds Large Scallops\n1/2 pound Bacon, Cut Into Thirds Or Halves\n1 stick Butter\n2 teaspoons Chili Powder\n Dash Of Cayenne",http://thepioneerwoman.com/cooking/2012/01/bacon-wrapped-scallops-with-chili-butter/,http://static.thepioneerwoman.com/cooking/files/2012/01/scallops.jpg,PT20M,8,1/19/2012,PT15M,"I made these beautiful, tasty little suckers before Christmas and am only just now recovering from the bliss so I can tell yo..."
Sausage-Kale Breakfast Strata,"12 whole Eggs\n2-1/2 cups Half And Half (or Milk, If You Prefer)\n Salt And Pepper, to taste\n4 Tablespoons Minced Fresh Oregano (or Parsley, Basil, Etc.)\n1 loaf Crusty French Or Italian Bread, Cut Into Cubes\n2 pounds Breakfast Sausage Patties, Cooked And Cut Into Cubes\n1 bunch (large) Regular Kale, Torn Into Pieces\n Olive Oil, For Frying\n16 ounces, weight White Mushrooms, Halved\n2-1/2 cups Grated Monterey Jack Cheese",http://thepioneerwoman.com/cooking/2012/01/sausage-kale-strata/,http://static.thepioneerwoman.com/cooking/files/2012/01/strata.jpg,PT45M,12,1/25/2012,PT30M,"I love make-ahead breakfast casseroles, also known as strata, also known as Breakfast Bread Pudding, also known as I Don't Ca..."
Spicy Stewed Beef with Creamy Cheddar Grits,"2 Tablespoons Canola Oil\n2 Tablespoons Butter\n3 pounds Stew Meat Or Diced Chuck Roast\n1 can (11 Ounces) Chipotle Peppers In Adobo Sauce\n4 cups Low-sodium Beef Broth, More If Needed\n5 cloves Minced Garlic\n1 Tablespoon Cumin\n2 teaspoons Chili Powder\n1 whole Onion, Diced\n1 whole Red Bell Pepper\n3 whole Chilies (any Variety, Hot Or Mild)\n4 cups Stone Ground Grits\n6 cups Low Sodium Chicken (or Beef) Broth\n3 cups Water\n2 cups Half-and-half\n2 cups Grated Cheddar Cheese",http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,PT3H,12,1/30/2012,PT20M,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines..."
Spicy Spinach-Stuffed Mushrooms,"24 ounces, weight White Mushrooms\n1 Tablespoon Olive Oil\n1 Tablespoon Butter\n1 whole Medium Onion, Diced\n1/2 cup Panko Breadcrumbs\n Salt And Black Pepper To Taste\n8 ounces, weight Cream Cheese, Softened\n1/3 cup Sour Cream\n1/2 cup Grated Sharp Cheddar Cheese\n1/2 cup Grated Monterey Jack Or Farmer's Cheese\n1 package (small) Chopped Spinach, Thawed\n8 dashes Hot Sauce (I Used Choulula)",http://thepioneerwoman.com/cooking/2012/02/spicy-spinach-stuffed-mushrooms/,http://static.thepioneerwoman.com/cooking/files/2012/02/shrooms.jpg,PT25M,8,2/6/2012,PT10M,Garsh. Were these good. I made them last night on a whim. Amid all the wings and ranch and other Super Bowl food---including ...
Pork Chops with Garlic and Wine,6 whole Pork Chops (medium-to-thin)\n2 Tablespoons Olive Oil\n2 Tablespoons Butter\n Salt And Pepper\n1-1/2 cup Red Wine\n1/2 cup Beef Broth (more If Needed)\n1 whole Bay Leaf\n1 Tablespoon Balsamic Vinegar\n18 whole Peeled Garlic Cloves\n1 Tablespoon Butter (additional),http://thepioneerwoman.com/cooking/2012/02/pork-chops-with-garlic-and-wine/,http://static.thepioneerwoman.com/cooking/files/2012/02/pork.jpg,PT25M,6,2/8/2012,PT5M,"This was really, really lovely.    I love pan sauces. Years and years ago, when my girls were still little petunias, this coo..."
Pots de Crème a l’Orange,"12 ounces, weight Semi-Sweet Chocolate Chips\n4 whole Eggs\n1 Tablespoon Grand Marnier, More To Taste\n1 dash Salt\n1 cup Very Hot Strong Coffee\n Fresh Whipped Cream, For Serving\n Thinly Sliced Orange Peel, For Garnish",http://thepioneerwoman.com/cooking/2012/02/pots-de-creme-a-lorange/,http://static.thepioneerwoman.com/cooking/files/2012/02/pots.jpg,PT,12,2/13/2012,PT2H,Note: It snowed overnight and I've been at the mercy of spotty internet today. Sorry for the chocolate delay!    This is a va...
Chocolate Cookies with Toppings,"2 sticks Salted Butter, Slightly Softened\n1 cup Powdered Sugar\n1 whole Egg\n2 teaspoons Vanilla Extract\n2-1/2 cups Flour\n1/2 cup Cocoa Powder\n3/4 teaspoons Salt\n4 ounces, weight White Almond Bark\n4 ounces, weight Chocolate Almond Bark\n DIPPING BAR\n Pistachios, Finely Chopped\n M &amp; M's, Slightly Chopped\n Toffee Bars, Chopped\n Assorted Nuts, Sprinkles, Candies",http://thepioneerwoman.com/cooking/2012/02/chocolate-cookies-with-toppings/,http://static.thepioneerwoman.com/cooking/files/2012/02/cookies.jpg,PT10M,16,2/16/2012,PT2H,"I made these on my Food Network show last weekend, but because we had a lot of family things going on this week, I wasn't abl..."
